"id","codigo","codigoprograma","titulo","created_at","updated_at","ano","codigoesfera","codigofuncao","codigosubfuncao","nomeesfera","nomefuncao","nomeorgao","nomesubfuncao","codigoorgao"
86810,"00001","212",Pagamento da Dívida - Lei 9.496.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","843","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,SERVIÇO DA DÍVIDA INTERNA,"40000000"
86811,"00002","212",Pagamento da Dívida Externa.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","844","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,SERVIÇO DA DÍVIDA EXTERNA,"40000000"
86812,"00003","212",Pagamento da Dívida Interna.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","843","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,SERVIÇO DA DÍVIDA INTERNA,"40000000"
86813,"00005","212",Participação dos Municípios na Arrecadação do IPVA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","845","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTRAS TRASFERÊNCIAS,"40000000"
86814,"00006","212",Participação dos Municípios no Produto da Arrecadação do ICMS.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","845","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTRAS TRASFERÊNCIAS,"40000000"
86815,"00008","212",Participação dos Municípios na Compensação Financeira pela Produção de Petróleo - Cota Parte Royalties.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","845","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTRAS TRASFERÊNCIAS,"40000000"
86816,"00009","212",Pagamento da Dívida Junto a União - COHAB.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86817,"00010","212",Cumprimento de Sentenças / Débitos Judiciais.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86818,"00011","212","Reforço de Dotações de Pessoal decorrente de Concursos, Plano de Cargos e Acordos.",2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,ENCARGOS GERAIS DO ESTADO,ADMINISTRAÇÃO GERAL,"40000000"
86819,"00012","212",Pagamento de Concessão do Pasep - ADAGRI.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","20","122","01 - FISCAL",AGRICULTURA,AGÊNCIA DE DEFESA AGROPECUÁRIA DO ESTADO DO CEARÁ,ADMINISTRAÇÃO GERAL,"56200006"
86820,"00013","212",Transferências e Contribuições ao Estado.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","26","845","01 - FISCAL",TRANSPORTE,DEPARTAMENTO ESTADUAL DE TRÂNSITO,OUTRAS TRASFERÊNCIAS,"08200003"
