"codigo","titulo","ano"
"000",A Definir,2022
"001",Contrapartida a Definir,2022
"100",RECURSOS ORDINÁRIOS,2022
"101",COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS ESTADOS,2022
"108",RECURSOS DE PRIVATIZAÇÕES,2022
"110",RECURSOS PROVENIENTES DO FECOP,2022
"112",ALIENAÇÃO DE BENS,2022
"117",RECURSOS PROVENIENTES DO FET,2022
"136",TRANSFERENCIA ESPECIAL DA UNIAO,2022
"144","INDENIZAÇÃO PELA EXTRAÇÃO DO PETRÓLEO, XISTO E GÁS",2022
"203",RECURSOS PROVENIENTES DA CONTRIBUIÇÃO SOCIAL,2022
"204",RECURSOS PROVENIENTES DA CONTRIBUIÇÃO PATRONAL,2022
"205",RECURSOS PROVENIENTES DA CONTRIBUIÇÃO PARLAMENTAR,2022
"206",RECURSOS PROVENIENTES DA CONTRIBUIÇÃO PATRONAL PARLAMENTAR,2022
"207",COTA-PARTE DA CONTRIBUIÇÃO DO SALÁRIO-EDUCAÇÃO,2022
"211",COTA-PARTE DA CIDE,2022
"214",RECURSOS PROVENIENTES DE DEPÓSITOS JUDICIAIS,2022
"215",DEPÓSITOS JUDICIAIS - PIMPJ,2022
"216",COMPENSAÇÃO AMBIENTAL,2022
"221",GOVERNO MUNICIPAL - APLICAÇÃO DIRETA,2022
"222",GOVERNO FEDERAL - APLICAÇÃO DIRETA,2022
"223",ÓRGÃOS PRIVADOS - APLICAÇÃO DIRETA,2022
"224",ÓRGÃOS INTERNACIONAIS - APLICAÇÃO DIRETA,2022
"229",RECURSOS ARRECADADOS DA VENDA DE SELOS DE AUTENTICIDADE,2022
"230","ASSISTÊNCIA FINANCEIRA TRANSPORTE COLETIVO - Art. 5º, INCISO IV - EC 123/2022",2022
"234",RECURSOS DE PRECATÓRIOS DO FUNDEF,2022
"246",OPERAÇÕES DE CRÉDITO INTERNAS,2022
"248",OPERAÇÕES DE CRÉDITO EXTERNAS,2022
"250",RECURSOS PROVENIENTES DO FUNDEB,2022
"251",COMPLEMENTAÇÃO DA UNIÃO AOS RECURSOS DO FUNDEB,2022
"266",FESAC - RECURSOS PROVENIENTES DA QUOTA PARTE DOS MUNICÍPIOS,2022
"270",RECURSOS DIRETAMENTE ARRECADADOS,2022
"273",TRANSFERÊNCIAS DIRETAS DO FNDE,2022
"276",RECURSOS PROVENIENTES DO FIT,2022
"279",TRANSFERÊNCIAS AO FUNDO DE DEFESA CIVIL,2022
"280",CONVÊNIOS COM ÓRGÃOS INTERNACIONAIS,2022
"282",CONVÊNIOS COM ÓRGÃOS FEDERAIS,2022
"284",CONVÊNIOS COM ÓRGÃOS ESTADUAIS,2022
"286",CONVÊNIOS COM ÓRGÃOS MUNICIPAIS,2022
"288",CONVÊNIOS COM ÓRGÃOS PRIVADOS,2022
"291",RECURSOS PROVENIENTES DO SUS,2022
"292",REPASSE FUNDO A FUNDO,2022
"295",RECURSOS PROVENIENTES DO AUMENTO DE CAPITAL DO TESOURO,2022
"299",EXTRAORDINÁRIA,2022
"300",RECURSOS ORDINÁRIOS - EXERCÍCIOS ANTERIORES,2022
"301",COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS ESTADOS - EXERCÍCIOS ANTERIORES,2022
"310",RECURSOS PROVENIENTES DO FECOP - EXERCÍCIOS ANTERIORES,2022
"312",ALIENAÇÃO DE BENS - EXERCÍCIOS ANTERIORES,2022
