"codigo","titulo","ano"
"01",LEGISLATIVA,2023
"02",JUDICIÁRIA,2023
"03",ESSENCIAL À JUSTIÇA,2023
"04",ADMINISTRAÇÃO,2023
"05",DEFESA NACIONAL,2023
"06",SEGURANÇA PÚBLICA,2023
"07",RELAÇÕES EXTERIORES,2023
"08",ASSISTÊNCIA SOCIAL,2023
"09",PREVIDÊNCIA SOCIAL,2023
"10",SAÚDE,2023
"11",TRABALHO,2023
"12",EDUCAÇÃO,2023
"13",CULTURA,2023
"14",DIREITOS DA CIDADANIA,2023
"15",URBANISMO,2023
"16",HABITAÇÃO,2023
"17",SANEAMENTO,2023
"18",GESTÃO AMBIENTAL,2023
"19",CIÊNCIA E TECNOLOGIA,2023
"20",AGRICULTURA,2023
"21",ORGANIZAÇÃO AGRÁRIA,2023
"22",INDÚSTRIA,2023
"23",COMÉRCIO E SERVIÇOS,2023
"24",COMUNICAÇÕES,2023
"25",ENERGIA,2023
"26",TRANSPORTE,2023
"27",DESPORTO E LAZER,2023
"28",ENCARGOS ESPECIAIS,2023
"50",OUTROS,2023
"99",RESERVA DE CONTINGÊNCIA,2023
"01",LEGISLATIVA,2022
"02",JUDICIÁRIA,2022
"03",ESSENCIAL À JUSTIÇA,2022
"04",ADMINISTRAÇÃO,2022
"05",DEFESA NACIONAL,2022
"06",SEGURANÇA PÚBLICA,2022
"07",RELAÇÕES EXTERIORES,2022
"08",ASSISTÊNCIA SOCIAL,2022
"09",PREVIDÊNCIA SOCIAL,2022
"10",SAÚDE,2022
"11",TRABALHO,2022
"12",EDUCAÇÃO,2022
"13",CULTURA,2022
"14",DIREITOS DA CIDADANIA,2022
"15",URBANISMO,2022
"16",HABITAÇÃO,2022
"17",SANEAMENTO,2022
"18",GESTÃO AMBIENTAL,2022
"19",CIÊNCIA E TECNOLOGIA,2022
"20",AGRICULTURA,2022
"21",ORGANIZAÇÃO AGRÁRIA,2022
"22",INDÚSTRIA,2022
"23",COMÉRCIO E SERVIÇOS,2022
"24",COMUNICAÇÕES,2022
"25",ENERGIA,2022
"26",TRANSPORTE,2022
"27",DESPORTO E LAZER,2022
"28",ENCARGOS ESPECIAIS,2022
"50",OUTROS,2022
"99",RESERVA DE CONTINGÊNCIA,2022
"01",LEGISLATIVA,2024
"02",JUDICIÁRIA,2024
"03",ESSENCIAL À JUSTIÇA,2024
"04",ADMINISTRAÇÃO,2024
"05",DEFESA NACIONAL,2024
"06",SEGURANÇA PÚBLICA,2024
"07",RELAÇÕES EXTERIORES,2024
"08",ASSISTÊNCIA SOCIAL,2024
"09",PREVIDÊNCIA SOCIAL,2024
"10",SAÚDE,2024
"11",TRABALHO,2024
"12",EDUCAÇÃO,2024
"13",CULTURA,2024
"14",DIREITOS DA CIDADANIA,2024
"15",URBANISMO,2024
"16",HABITAÇÃO,2024
"17",SANEAMENTO,2024
"18",GESTÃO AMBIENTAL,2024
"19",CIÊNCIA E TECNOLOGIA,2024
"20",AGRICULTURA,2024
"21",ORGANIZAÇÃO AGRÁRIA,2024
"22",INDÚSTRIA,2024
"23",COMÉRCIO E SERVIÇOS,2024
"24",COMUNICAÇÕES,2024
"25",ENERGIA,2024
"26",TRANSPORTE,2024
"27",DESPORTO E LAZER,2024
"28",ENCARGOS ESPECIAIS,2024
"50",OUTROS,2024
"99",RESERVA DE CONTINGÊNCIA,2024
