"codigo","titulo","ano"
"0",Fonte de Recursos do Tesouro Não Destinados à Contrapartida,2022
"1",Fonte de Recursos de Outras Fontes Não Destinados à Contrapartida,2022
"2",Contrapartida de Empréstimos do BNDES,2022
"3",Contrapartida de Empréstimos da CEF,2022
"4",Contrapartida de Empréstimos do BIRD,2022
"5",Contrapartida de Empréstimos do BID,2022
"6",Contrapartida de Outros Empréstimos,2022
"7",Contrapartida de Convênios,2022
"0",Fonte de Recursos do Tesouro Não Destinados à Contrapartida,2023
"1",Fonte de Recursos de Outras Fontes Não Destinados à Contrapartida,2023
"2",Contrapartida de Empréstimos do BNDES,2023
"3",Contrapartida de Empréstimos da CEF,2023
"4",Contrapartida de Empréstimos do BIRD,2023
"5",Contrapartida de Empréstimos do BID,2023
"6",Contrapartida de Outros Empréstimos,2023
"7",Contrapartida de Convênios,2023
"0",Fonte de Recursos do Tesouro Não Destinados à Contrapartida,2024
"1",Fonte de Recursos de Outras Fontes Não Destinados à Contrapartida,2024
"2",Contrapartida de Empréstimos do BNDES,2024
"3",Contrapartida de Empréstimos da CEF,2024
"4",Contrapartida de Empréstimos do BIRD,2024
"5",Contrapartida de Empréstimos do BID,2024
"6",Contrapartida de Outros Empréstimos,2024
"7",Contrapartida de Convênios,2024
