"codigo","titulo","ano"
"319003",PENSÕES,2022
"334000",Transferências a Municípios,2022
"334041",CONTRIBUIÇÕES,2022
"334081",DISTRIBUIÇÃO CONSTITUCIONAL OU LEGAL DE RECEITAS,2022
"334091",SENTENÇAS JUDICIAIS,2022
"334092",DESPESAS DE EXERCÍCIOS ANTERIORES,2022
"334093",INDENIZAÇÕES E RESTITUIÇÕES,2022
"334131","PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS",2022
"334141",CONTRIBUIÇÕES,2022
"334192",DESPESAS DE EXERCÍCIOS ANTERIORES,2022
"334214",DIÁRIAS - CIVIL,2022
"334218",AUXÍLIO FINANCEIRO A ESTUDANTES,2022
"334230",MATERIAL DE CONSUMO,2022
"334233",PASSAGENS E DESPESAS COM LOCOMOÇÃO,2022
"334235",SERVIÇOS DE CONSULTORIA,2022
"334236",OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA,2022
"334239",OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,2022
"334247",OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,2022
"334292",DESPESAS DE EXERCÍCIOS ANTERIORES,2022
"334293",INDENIZAÇÕES E RESTITUIÇÕES,2022
"334541",CONTRIBUIÇÕES,2022
"444642",AUXÍLIOS,2022
"449651",OBRAS E INSTALAÇÕES,2022
"457300","Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012",2023
"457370",RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO,2023
"457400","Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar nº 141, de 2012",2023
"457470",RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO,2023
"458066",CONCESSÃO DE EMPRÉSTIMOS E FINANCIAMENTOS,2023
"459000",Aplicações Diretas,2023
"459007",CONTRIBUIÇÃO À ENTIDADES FECHADAS DE PREVIDÊNCIA,2023
"459027","ENCARGOS PELA HONRA DE AVAIS, GARANTIAS, SEGUROS E SIMILARES",2023
"459041",CONTRIBUIÇÕES,2023
"459061",AQUISIÇÃO DE IMÓVEIS,2023
"459062",AQUISIÇÃO DE PRODUTOS PARA REVENDA,2023
"459063",AQUISIÇÃO DE TÍTULOS DE CRÉDITO,2023
"459064",AQUISIÇÃO DE TÍTULOS REPRESENTATIVOS DE CAPITAL JÁ INTEGRALIZADO,2023
"459065",CONSTITUIÇÃO OU AUMENTO DE CAPITAL DE EMPRESAS,2023
"459066",CONCESSÃO DE EMPRÉSTIMOS E FINANCIAMENTOS,2023
"459067",DEPÓSITOS COMPULSÓRIOS,2023
"459084","DESPESAS DECORRENTES DA PARTICIPAÇÃO EM FUNDOS, ORGANISMOS, OU ENTIDADES ASSEMELHADAS, NACIONAIS E INTERNACIONAIS",2023
"459091",SENTENÇAS JUDICIAIS,2023
"459092",DESPESAS DE EXERCÍCIOS ANTERIORES,2023
"459093",INDENIZAÇÕES E RESTITUIÇÕES,2023
"459147",OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,2023
"459161",AQUISIÇÃO DE IMÓVEIS,2023
"459162",AQUISIÇÃO DE PRODUTOS PARA REVENDA,2023
"459165",CONSTITUIÇÃO OU AUMENTO DE CAPITAL DE EMPRESAS,2023
"459166",CONCESSÃO DE EMPRÉSTIMOS E FINANCIAMENTOS,2023
"459191",SENTENÇAS JUDICIAIS,2023
"459192",DESPESAS DE EXERCÍCIOS ANTERIORES,2023
"459500","Aplicação Direta à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012",2023
"459561",AQUISIÇÃO DE IMÓVEIS,2023
"459567",DEPÓSITOS COMPULSÓRIOS,2023
"459591",SENTENÇAS JUDICIAIS,2023
"459592",DESPESAS DE EXERCÍCIOS ANTERIORES,2023
"459593",INDENIZAÇÕES E RESTITUIÇÕES,2023
"459600","Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar nº 141, de 2012",2023
"459661",AQUISIÇÃO DE IMÓVEIS,2023
"459667",DEPÓSITOS COMPULSÓRIOS,2023
"459691",SENTENÇAS JUDICIAIS,2023
"459692",DESPESAS DE EXERCÍCIOS ANTERIORES,2023
"459693",INDENIZAÇÕES E RESTITUIÇÕES,2023
"467170",RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO,2023
"467300","Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012",2023
"467370",RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO,2023
"467400","Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar nº 141, de 2012",2023
"467470",RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO,2023
"469000",Aplicações Diretas,2023
"469027","ENCARGOS PELA HONRA DE AVAIS, GARANTIAS, SEGUROS E SIMILARES",2023
"469071",PRINCIPAL DA DÍVIDA CONTRATUAL RESGATADO,2023
"469072",PRINCIPAL DA DÍVIDA MOBILIÁRIA RESGATADO,2023
"469073",CORREÇÃO MONETÁRIA OU CAMBIAL DA DÍVIDA CONTRATUAL RESGATADA,2023
"469074",CORREÇÃO MONETÁRIA OU CAMBIAL DA DÍVIDA MOBILIÁRIA RESGATADA,2023
"469075",CORREÇÃO MONETÁRIA DA DÍVIDA DE OPERAÇÕES DE CRÉDITO POR ANTECIPAÇÃO DE RECEITA,2023
"469076",PRINCIPAL CORRIGIDO DA DÍVIDA MOBILIÁRIA REFINANCIADO,2023
"469077",PRINCIPAL CORRIGIDO DA DÍVIDA CONTRATUAL REFINANCIADO,2023
"469091",SENTENÇAS JUDICIAIS,2023
"469092",DESPESAS DE EXERCÍCIOS ANTERIORES,2023
"469093",INDENIZAÇÕES E RESTITUIÇÕES,2023
