"codigo","titulo","ano"
"014",CONTROLE EXTERNO DA ADMINISTRAÇÃO PÚBLICA ESTADUAL,2022
"036",EXCELÊNCIA NO DESEMPENHO DA PRESTAÇÃO JURISDICIONAL,2022
"074",PROMOÇÃO E UNIVERSALIZAÇÃO DO ACESSO À JUSTIÇA,2022
"040",MELHORIA DE ESPAÇOS E EQUIPAMENTOS PÚBLICOS,2022
"037",GESTÃO E DISCIPLINAMENTO DO TRÂNSITO,2022
"003",SEGURANÇA PÚBLICA INTEGRADA,2022
"007",SEGURANÇA PÚBLICA CIDADÃ,2022
"001",GESTÃO DE RISCOS E DESASTRES,2022
"012",TUTELA DOS INTERESSES SOCIAIS E INDIVIDUAIS INDISPONÍVEIS,2022
"313",DESENVOLVIMENTO SUSTENTÁVEL DO AGRONEGÓCIO,2022
"004",INFRAESTRUTURA E GESTÃO DO SISTEMA PENITENCIÁRIO,2022
"059",ENCARGOS GERAIS DO ESTADO,2022
"028",DESENVOLVIMENTO E CONSOLIDAÇÃO DO DESTINO TURISTICO CEARÁ,2022
"050",ESPORTE E LAZER PARA A POPULAÇÃO,2022
"022",HABITAÇÃO DE INTERESSE SOCIAL,2022
"070",GESTÃO E DESENVOLVIMENTO ESTRATÉGICO DE PESSOAS,2022
"063",TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO ESTRATÉGICA DO CEARÁ,2022
"065",FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO,2022
"083",DESENVOLVIMENTO DO ARTESANATO,2022
"080",PROTEÇÃO SOCIAL BÁSICA,2022
"078",INCLUSÃO E DESENVOLVIMENTO DO TRABALHADOR,2022
"075",PROTEÇÃO E PROMOÇÃO DOS DIREITOS DE ADOLESCENTES EM ATENDIMENTO SOCIOEDUCATIVO,2022
"072",PROTEÇÃO SOCIAL ESPECIAL,2022
"067",CEARÁ NO CLIMA,2022
"066",CEARÁ MAIS VERDE,2022
"024",CONTROLE DISCIPLINAR DOS SISTEMAS DE SEGURANÇA PÚBLICA E PENITENCIÁRIO,2022
"015",GOVERNANÇA DO PACTO POR UM CEARÁ PACÍFICO,2022
"068",CEARA CONSCIENTE POR NATUREZA,2022
"081",COMUNICAÇÃO INSTITUCIONAL E APOIO ÀS POLÍTICAS PÚBLICAS,2022
"060",MODERNIZAÇÃO DA GESTÃO FISCAL,2022
"053",GESTÃO FISCAL E FINANCEIRA,2022
"033",PROMOÇÃO DA SEGURANÇA ALIMENTAR E NUTRICIONAL,2022
"031",INCLUSÃO ECONÔMICA E ENFRENTAMENTO À POBREZA RURAL,2022
"032",ABASTECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO NO MEIO RURAL,2022
"029",DESENVOLVIMENTO DA AGROPECUÁRIA FAMILIAR,2022
"052",DEFESA AGROPECUÁRIA ATUANTE NO ESTADO DO CEARÁ,2022
"058","DESENVOLVIMENTO DA EDUCAÇÃO PROFISSIONAL NOS NÍVEIS: FORMAÇÃO INICIAL E CONTINUADA, TÉCNICO E TECNOLÓGICO",2022
"008",ACESSO E APRENDIZAGEM DAS CRIANÇAS E JOVENS NA IDADE ADEQUADA,2022
"020",ENSINO INTEGRADO À EDUCAÇÃO PROFISSIONAL,2022
"023",GESTÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA,2022
"006",INCLUSÃO E EQUIDADE NA EDUCAÇÃO,2022
"071",GESTÃO E DESENVOLVIMENTO DA EDUCAÇÃO SUPERIOR,2022
"061","DESENVOLVIMENTO DA PRODUÇÃO CIENTÍFICA, DA DIFUSÃO TECNOLÓGICA, E DA CULTURA DE INOVAÇÃO",2022
"064",RESÍDUOS SÓLIDOS,2022
"030",DESENVOLVIMENTO TERRITORIAL RURAL SUSTENTÁVEL E SOLIDÁRIO,2022
"111",HABITAÇÃO E REGULARIZAÇÃO FUNDIÁRIA URBANA,2022
"112",HABITAÇÃO E REGULARIZAÇÃO FUNDIÁRIA RURAL,2022
