"codigo","titulo","ano","sigla"
"010001",ASSEMBLEIA LEGISLATIVA,2024,ASSEMBLEIA
"010101",FUNDO DE PREVIDENCIA PARLAMENTAR DA ASSEMB LEGISL DO CE,2024,FPP
"020001",TRIBUNAL DE CONTAS DO ESTADO,2024,TCE
"040401",FUNDO ESPECIAL DE CUSTEIO DAS DESPESAS COM DILIGÊNCIAS DOS OFICIAIS DE JUSTIÇA,2024,FECDOJ
"060001",DEFENSORIA PUBLICA GERAL,2024,DPGE
"060101",FUNDO DE APOIO E APARELHAMENTO DA DEFENSORIA PUBLICA,2024,FAADEP
"080001",SECRETARIA DA INFRAESTRUTURA,2024,SEINFRA
"080101",DEPARTAMENTO ESTADUAL DE RODOVIAS,2024,DER
"080301",DEPARTAMENTO ESTADUAL DE TRANSITO,2024,DETRAN
"080401",COMPANHIA DE AGUA E ESGOTO DO CEARA,2024,CAGECE
"080501",COMPANHIA DE GAS DO CEARA,2024,CEGAS
"080701",COMPANHIA CEARENSE DE TRANSPORTES METROPOLITANOS,2024,METROFOR
"080801",COMPANHIA DE DESENVOLVIMENTO DO COMPLEXO INDUSTRIAL E PORTUARIO DO PECEM,2024,CIPP S/A
"081201",DEPARTAMENTO DE ARQUITETURA E ENGENHARIA,2024,DAE
"081401",SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,2024,SOP
"090001",SECRETARIA DA OUVIDORIA-GERAL E DO MEIO AMBIENTE,2024,SOMA
"100001",SECRETARIA DA SEGURANCA PUBLICA E DEFESA SOCIAL,2024,SSPDS
"100601",FUNDO DE SEGURANÇA PÚBLICA E DEFESA SOCIAL DO ESTADO DO CEARÁ,2024,FSPDS
"100606",FDS COORDENACAO GERAL,2024,FDS GERAL
"100607",FDS POLICIA CIVIL,2024,FDS PC
"100608",FDS POLICIA MILITAR,2024,FDS PM
"100609",FDS CORPO DE BOMBEIROS,2024,FDS CB
"100610",FSPDS COLEGIO POLICIA MILITAR,2024,FSPDS C PM
"100611",FSPDS COLEGIO CORPO DE BOMBEIROS,2024,FSPDS C B
"100612",FDS SEC DE JUSTICA E CIDADANIA,2024,FDS SEJUS
"100614",FDS PERÍCIA FORENSE DO ESTADO DO CEARÁ,2024,FDS PEFOCE
"100615",COLÉGIO DA POLÍCIA MILITAR DE JUAZEIRO DO NORTE,2024,FSPDS CPMJ
"100617",FDS ACADEMIA ESTADUAL DE SEGURANÇA PÚBLICA,2024,FDS AESP
"100618",FDS SUPERINTENDÊNCIA DE PESQUISA E ESTRATÉGIA DE SEGURANÇA PÚBLICA,2024,FDS SUPESP
"101021",SUPERINTENDENCIA DA POLICIA CIVIL,2024,PCCE
"101031",POLICIA MILITAR DO CEARA,2024,PMCE
"101041",CORPO DE BOMBEIROS MILITAR DO ESTADO DO CEARA,2024,CBMCE
"101071",PERICIA FORENSE DO ESTADO DO CEARA,2024,PEFOCE
"101081",ACADEMIA ESTADUAL DE SEGURANCA PUBLICA DO CEARA,2024,AESP/CE
"101091",SUP DE PESQUISA E ESTRATEGIA DE SEGURANCA PUBLICA DO ESTADO DO CEARA,2024,SUPESP
"105001",FUNDO DE DEFESA CIVIL DO ESTADO DO CEARA,2024,FDC
"110001",GABINETE DO GOVERNADOR,2024,GABGOV
"120001",GABINETE DO VICE-GOVERNADOR,2024,GABVICE
"561201",INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO CEARA-IPEM/CE,2023,IPEMCE
"228308",EEM DOUTOR JÚLIO DE CARVALHO,2024,"23014202"
"228309",EEMTI MONSENHOR AGUIAR,2024,"23011769"
"228310",EEM TANCREDO NUNES DE MENEZES,2024,"23012676"
"228311",EEMTI FLÁVIO RIBEIRO LIMA,2024,"23013125"
"228312",EEM GRIJALVA COSTA,2024,"23013176"
"228313",EEEP GOVERNADOR WALDEMAR ALCÂNTARA,2024,"23013680"
"228314",EEM MONSENHOR MELO,2024,"23010665"
"228315",EEFM FARIAS BRITO,2024,"23010886"
"228316",EEFM DEPUTADO TOMAZ BRANDÃO,2024,"23011661"
"228317",EEM MINISTRO ANTONI0O COELHO,2024,"23010851"
"228318",EEM MARIA MARINA SOARES,2024,"23009748"
"228319",EEMTI MONSENHOR ANTONINO,2024,"23009578"
"228320",EEMTI ANTONIO RAIMUNDO DE MELO,2024,"23008814"
"228321",EEM JOAQUIM BASTOS GONÇALVES,2024,"23245000"
"228322",EEM DE CROATÁ FLÁVIO RODRIGUES,2024,"23242426"
"228323",EEEP PROFESSOR SEBASTIAO VASCONCELOS SOBRINHO,2024,"23564024"
"700001",SECRETARIA DA PROTECAO ANIMAL,2023,SEPA
"130001",PROCURADORIA GERAL DO ESTADO,2024,PGE
"130101",AGENCIA REGULADORA DE SERVICOS PUBLICOS DELEGADOS DO EST. DO CEARA,2024,ARCE
"130201",FUNDO DE MODERNIZACAO E REAPARELHAMENTO DA PGE,2024,FUNPECEPGE
"130301",Fundo Estadual de Fortalecimento ao Controle Administrativo,2024,FEFCA
"140001",CASA MILITAR,2024,CM
"150301",Fundo de Segurança Insti e Inteligência do Ministério Público do Estado do Ceará,2024,FUNSIT
"150401",FUNDO DE MANUTENÇÃO DA ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DO ESTADO DO CEARÁ,2024,FESMP
"150501",FUNDO DE REA. DE MODERNIZAÇÃO DO MP DO CEARÁ,2024,FRMMP
"170001",CONSELHO ESTADUAL DE EDUCACAO,2024,CEE
"180001",SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA,2024,SAP
"180401",FUNDO PENITENCIARIO DO ESTADO DO CEARA,2024,FUNPEN
"180502",FUNDO ROTATIVO DO SISTEMA PENITENCIÁRIO DO ESTADO DO CEARÁ,2024,FUROPENCE
"190001",SECRETARIA DA FAZENDA,2024,SEFAZ
"190401",JUNTA COMERCIAL DO ESTADO DO CEARA,2024,JUCEC
"190501",COMPANHIA DE PARTICIPACAO E GESTAO DE ATIVOS DE CEARA S/A,2024,CEARAPAR
"191011",ENCARGOS GERAIS DO ESTADO,2024,ENCARGOS
"210001",SECRETARIA DO DESENVOLVIMENTO AGRARIO,2024,SDA
"210101",EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO CEARA,2024,EMATERCE
"210301",INSTITUTO DE DESENVOLVIMENTO AGRARIO DO CEARA,2024,IDACE
"210601",CENTRAIS DE ABASTECIMENTO DO CEARA S/A,2024,CEASA/CE
"211101",AGENCIA DE DEFESA AGROPECUARIA DO ESTADO DO CEARA,2024,ADAGRI
"211301",FUNDO EST DE DESENVOLVIMENTO DA AGRICULTURA FAMILIAR,2024,FDAF
"220001",SECRETARIA DA EDUCACAO,2024,SEDUC
"220801",FUNDO DESENVOLVIMENTO DO ENSINO BASICO,2024,FUNDEB
"221001",SUPERINTENDENCIA DAS ESCOLAS ESTADUAIS DE FORTALEZA - SEFOR1,2024,SEFOR1
"221002",SUPERINTENDENCIA DAS ESCOLAS ESTADUAIS DE FORTALEZA - SEFOR2,2024,SEFOR2
"221003",SUPERINTENDENCIA DAS ESCOLAS ESTADUAIS DE FORTALEZA - SEFOR3,2024,SEFOR3
"225001",CENTRO DE EDUCACAO A DISTANCIA DO ESTADO DO CEARA,2024,CED
"227001",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 01 - MARACANAU,2024,CREDE1
"227002",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 02 - ITAPIPOCA,2024,CREDE2
"227003",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 03 -  ACARAU,2024,CREDE3
"227004",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 04 - CAMOCIM,2024,CREDE4
"227005",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 05 -  TIANGUA,2024,CREDE5
"227006",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 06 - SOBRAL,2024,CREDE6
"227007",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 07 - CANINDE,2024,CREDE7
"227008",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 08 - BATURITE,2024,CREDE8
"227009",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 09 - HORIZONTE,2024,CREDE9
"227010",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 10 - RUSSAS,2024,CREDE10
"227011",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 11 - JAGUARIBE,2024,CREDE11
"227012",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 12 - QUIXADA,2024,CREDE12
"227013",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 13 - CRATEUS,2024,CREDE13
"227014",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 14 - SENADOR POMPEU,2024,CREDE14
"227015",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 15 - TAUA,2024,CREDE15
"227016",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 16 - IGUATU,2024,CREDE16
"227017",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 17 - ICO,2024,CREDE17
"227018",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 18 - CRATO,2024,CREDE18
"227019",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 19 - JUAZEIRO DO NORTE,2024,CREDE19
"227020",COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCACAO - CREDE 20 - BREJO SANTO,2024,CREDE20
"228001",EEMTI ESTADO DE ALAGOAS,2024,"23068809"
"228002",EEMTI PROFESSORA BALBINA JUCA ALBUQUERQUE,2024,"23069031"
"228003",CEJA MONSENHOR HÉLIO CAMPOS,2024,"23070919"
"228004",EEFM DOUTOR CÉSAR CALS,2024,"23186488"
"228005",EEMTI CLAUDIO MARTINS,2024,"23067233"
"228006",COLÉGIO MILITAR DO CORPO DE BOMBEIRO,2024,"23215534"
"228007",EEEP DONA CREUSA DO CARMO ROCHA,2024,"23187956"
"228025",EEMTI SANTO AFONSO,2024,"23069201"
"228026",EEMTI ANTONIETA SIQUEIRA,2024,"23065494"
"228027",EEMTI ANTONIO BEZERRA,2024,"23065249"
"228028",EEMTI ANTONIO SALES,2024,"23065389"
"228029",EEMTI AYRTON SENNA DA SILVA,2024,"23188774"
"228030",CAIC RAIMUNDO GOMES DE CARVALHO,2024,"23186224"
"228031",CEJA PROFESSORA MARIA EUDES VERAS,2024,"23234105"
"228032",CEJA PAULO FREIRE,2024,"23227885"
"228033",EEMTI MARIA JOSE SANTOS FERREIRA GOMES,2024,"23188545"
"228034",COLÉGIO DA POLÍCIA MILITAR DO CEARÁ,2024,"23198710"
"228035",EEMTI MONSENHOR DOURADO,2024,"23068078"
"228036",EEFM FÉLIX DE AZEVEDO,2024,"23070161"
"228037",EEFM HERÁCLITO DE CASTRO E SILVA,2024,"23070978"
"228038",EEMTI HERMINIO BARROSO,2024,"23071010"
"228039",EEF INSTITUTO DOS CEGOS,2024,"23186399"
"228040",EEF JESUS MARIA JOSÉ,2024,"23071664"
"228041",EEFM JOÃO PAULO II,2024,"23264721"
"228042",EEEP JOAQUIM NOGUEIRA,2024,"23072067"
"228043",EEMTI JOSE BEZERRA DE MENEZES,2024,"23072237"
"228044",EEF SÃO JOSÉ DO PICI DAS PEDREIRAS,2024,"23227877"
"228045",EEFM JOSÉ WALDEMAR DE ALCÂNTARA E SILVA,2024,"23225505"
"228046",EEEP JÚLIA GIFFONI,2024,"23072792"
"228047",EEM MARIANO MARTINS,2024,"23074060"
"228048",EEFM MÁRIO HUGO CIDRACK DO VALE,2024,"23225327"
"228049",EEFM PATRONATO SAGRADA FAMÍLIA,2024,"23075686"
"228057",EEMTI DRAGAO DO MAR,2024,"23068086"
"228058",EEM HELENITA MOTA,2024,"23070897"
"228062",COLÉGIO ESTADUAL JUSTINIANO DE SERPA,2024,"23072865"
"228063",EEFM JUVENAL GALENO,2024,R2JG
"228064",COLEGIO ESTADUAL LICEU DO CEARA – EEMTI,2024,"23073039"
"228065",EEFM DEPUTADO MANOEL RODRIGUES,2024,"23073918"
"228066",EEEP MARIA JOSÉ MEDEIROS,2024,"23073683"
"228067",EEMTI MATIAS BECK,2024,"23068930"
"228068",EEM GENERAL MURILO BORGES MOREIRA,2024,"23075023"
"228069",EEFM NOEL HUGNEN DE OLIVEIRA PAIVA,2024,"23075147"
"228070",EEFM PADRE ROCHA,2024,"23069570"
"228071",EEFM PARÓQUIA DA PAZ,2024,"23068973"
"228072",EEMTI RENATO BRAGA,2024,"23069120"
"228073",EEFM ARQUITETO ROGÉRIO FROES,2024,"23077140"
"228074",EEFM SANTA LUZIA,2024,"23069171"
"228075",EEMTI VISCONDE DO RIO BRANCO,2024,"23078529"
"228076",EEFM DOUTORA ALDACI BARBOSA,2024,"23078685"
"228077",EEFM PROFESSOR ALOYSIO BARROS LEAL,2024,"23069023"
"228078",EEFM ANTONIO DIAS MACÊDO,2024,"23187735"
"228079",CEJA MILTON CUNHA,2024,"23236582"
"228080",EEFM PROFESSORA MARIA DA CONCEIÇÃO PORFÍRIO TELES,2024,"23073527"
"228081",EEFM CONSTÂNCIA TÁVORA,2024,"23067446"
"228082",EEMTI DOM ANTONIO DE ALMEIDA LUSTOSA,2024,"23065273"
"228083",EEMTI ESTADO DO PARA,2024,"23068833"
"228084",EEFM GOVERNADOR VIRGÍLIO TÁVORA,2024,"23069619"
"228085",EEMTI PADRE GUILHERME WAESSEN,2024,"23070820"
"228086",EEMTI INTEGRADA 02 DE MAIO,2024,"23073853"
"228087",EEMTI IRACEMA,2024,"23071354"
"228088",EEEP JAIME ALENCAR DE OLIVEIRA,2024,"23244747"
"228089",EEMTI JOAO NOGUEIRA JUCA,2024,"23252294"
"228090",EEM JOSE DE ALENCAR,2024,"23069430"
"228091",EEEP JOSÉ DE BARCELOS,2024,"23072318"
"228092",LICEU DE MESSEJANA,2024,"23221160"
"228093",EEMTI GOVERNADOR LUIZ DE GONZAGA DA FONSECA MOTA,2024,"23078758"
"228094",EEM LUIZA TAVORA – PROMORAR,2024,"23073411"
"228095",EEMTI PADRE MARCELINO CHAMPAGNAT,2024,"23078707"
"228096",EEFM PROFESSORA MARIA GONÇALVES,2024,"23069457"
"228097",EEEP MÁRIO ALENCAR,2024,"23323434"
"228098",EEEP COMENDADOR MIGUEL GURGEL,2024,"23078774"
"228099",EEMTI MIRIAN PORTO MOTA,2024,"23069562"
"228100",EEMTI DEPUTADO PAULINO ROCHA,2024,"23068710"
"228101",EEFM PROFESSOR PAULO AYRTON DE ARAÚJO,2024,"23075775"
"228102",EEMTI DEPUTADO PAULO BENEVIDES,2024,"23075791"
"228103",EEMTI POETA OTACILIO COLARES,2024,"23214457"
"228104",EEMTI PROFESSORA TELINA BARBOSA DA COSTA,2024,"23068523"
"228105",EEFM ALMIRANTE TAMANDARÉ,2024,"23077808"
"228106",EEMTI PROFESSORA TECLA FERREIRA,2024,"23077883"
"228107",EEMTI WALTER DE SA CAVALCANTE,2024,"23069244"
"228116",EEFM FIGUEIREDO CORREIA,2024,"23070242"
"228117",EEFM PROFESSOR HERMENEGILDO FIRMEZA,2024,"23071001"
"228118",EEFM MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,2024,"23071095"
"228119",EEMTI PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,2024,"23071087"
"228120",INSTITUTO DE EDUCAÇÃO DO CEARÁ,2024,"23066717"
"228121",EEFM PROFESSOR JÁDER MOREIRA DE CARVALHO,2024,"23071460"
"228122",EEMTI JENNY GOMES,2024,"23071591"
"228123",EEMTI JOÃO MATOS,2024,"23069260"
"228124",EEFM JOAQUIM ALVES,2024,"23072008"
"228125",EEEP JOAQUIM MOREIRA DE SOUSA,2024,"23068884"
"228126",EEMTI PROFESSOR CORONEL JOSE AURELIO CAMARA,2024,"23072199"
"228127",EEEP JUAREZ TÁVORA,2024,"23072750"
"228128",EEMTI MARIA THOMASIA,2024,"23078669"
"228141",EEFM PROFESSORA DIVA CABRAL,2024,"23067918"
"228142",EEMTI PROFESSOR EDMILSON GUIMARAES DE ALMEIDA,2024,"23068183"
"228143",EEF SÃO FRANCISCO DE ASSIS,2024,"23233168"
"228144",EEFM SÃO FRANCISCO DE ASSIS,2024,"23069988"
"228145",EEFM DOUTOR GENTIL BARREIRA,2024,"23070552"
"228146",EEEP ÍCARO DE SOUSA MOREIRA,2024,"23323426"
"228147",EEMTI DEPUTADO IRAPUAN CAVALCANTE PINHEIRO,2024,"23071370"
"228148",EEMTI IRMAO URBANO GONZALEZ RODRIGUEZ,2024,"23186518"
"228149",EEFM DEPUTADO JOACI PEREIRA,2024,"23069490"
"228150",EEMTI PROFESSOR JOCIE CAMINHA DE MENEZES,2024,"23068965"
"228151",EEFM JOSÉ LEOPOLDINO DA SILVA FILHO,2024,"23068914"
"228152",EEMTI PROFESSOR JOSÉ MARIA CAMPOS DE OLIVEIRA,2024,"23072431"
"228153",EEFM SÃO JOSÉ,2024,"23264985"
"228154",EEFM DONA JÚLIA ALVES PESSOA,2024,"23068566"
"228155",EEM LICEU DO CONJUNTO CEARÁ,2024,"23225416"
"228156",LICEU ESTADUAL PROFESSOR DOMINGOS BRASILEIRO ,2024,R5LEPDB
"228157",EEMTI ESTADO DO MARANHÃO,2024,"23068825"
"228158",EEMTI PROFESSORA MARIA ANTONIETA NUNES,2024,"23065486"
"228159",EEMTI PROFESSORA MARIA MARGARIDA DA CASTRO ALMEIDA,2024,"23073713"
"228160",EEFM MICHELSON NOBRE DA SILVA,2024,"23233893"
"228161",EEEP PROFESSOR ONÉLIO PORTO,2024,"23069074"
"228182",EEMTI VICENTE ARRUDA,2024,"23063599"
"228183",EEM PROFESSOR FLÁVIO PONTES,2024,"23080370"
"228184",EEEP GOVERNADOR LUIZ GONZAGA DA FONSECA MOTA,2024,"23080841"
"228185",EEMTI PROFESSOR ANTONIO MARTINS FILHO,2024,"23079649"
"228186",EEMTI ADAHIL BARRETO CAVALCANTE,2024,"23079495"
"228187",EEMTI PROFESSOR CLODOALDO PINTO,2024,"23079959"
"228188",EEM JOSÉ MILTON DE VASCONCELOS DIAS,2024,"23080710"
"228189",EEMTI ALBANIZA ROCHA SARASATE,2024,"23079533"
"228190",EEMTI CARNEIRO DE MENDONÇA,2024,"23079851"
"228191",EEM BRANCA CARNEIRO DE MENDONCA,2024,"23062126"
"228192",EEMTI JOSÉ DE BORBA VASCONCELOS,2024,"23081830"
"228193",EEMTI PROFESSOR EDMILSON PINHEIRO,2024,"23080132"
"228194",EEEP SALABERGA TORQUATO GOMES DE MATOS,2024,"23081996"
"228195",EEMTI EUNIVE WEAVER,2024,"23082160"
"228196",EEFM ANTONIO MARQUES DE ABREU,2024,"23081988"
"228198",EEFM LUIZ GIRÃO,2024,"23083255"
"228199",EEMTI MANUEL FERREIRA DA SILVA,2024,"23064510"
"228200",EEM ANA BEZERRA DE SÁ,2024,"23064323"
"228201",EEMTI RAIMUNDO TOMAZ,2024,"23061499"
"228202",EEMTI CORONEL OSVALDO STUDART,2024,"23061693"
"228203",EEMTI LIA SIDOU,2024,"23060948"
"228204",EEFM TELINA MATOS PIRES,2024,"23061545"
"228205",EEFM MIRIAN PORTO MOTA,2024,"23083816"
"228206",EEMTI DESEMBARGADOR RAIMUNDO DE CARVALHO LIMA,2024,"23083654"
"228207",EEMTI JOSE TRISTAO FILHO,2024,"23078901"
"228208",EEMTI CASIMIRO LEITE DE OLIVEIRA,2024,"23083476"
"228215",EEEP JOSÉ IVANILTON NOCRATO,2024,"23235683"
"228216",EEEP PROFESSOR ANTONIO VALMIR DA SILVA,2024,"23235675"
"228217",EEMTI ANTONIO LUIZ COELHO,2024,"23249676"
"228218",EEM MANOEL SENHOR DE MELO FILHO,2024,"23462337"
"228219",EEM PROFESSORA FRANCISCA LINHARES DE SOUSA,2024,"23510986"
"228220",ESCOLA INDÍGENA CHUÍ,2024,"23239174"
"228221",ESCOLA INDÍGENA TAPEBA DO TRILHO,2024,"23215682"
"228222",ESCOLA INDÍGENA ÍNDIOS TAPEBA,2024,"23215674"
"228223",EEEP EUSÉBIO DE QUEIROZ,2024,"23235691"
"228224",EEEP PROFESSORA ALDA FAÇANHA,2024,"23242949"
"228225",COLÉGIO ESTADUAL RUI BARBOSA,2024,"23223081"
"228226",LICEU PROFESSOR FRANCISCO OSCAR RODRIGUES,2024,"23223030"
"228227",EEMTI ANTONIO GERALDO DE LIMA,2024,"23244992"
"228228",LICEU DE CAUCAIA,2024,"23236353"
"228229",EEFM ALOÍSIO LEO ARLINDO LORSCHEIDER,2024,"23243864"
"228230",EEMTI RAUL TAVARES CAVALCANTE,2024,"23462329"
"228231",EEM ALICE MOREIRA DE OLIVEIRA,2024,"23462345"
"228232",EEM RITA ESTELITA DOS SANTOS RODRIGUES,2024,"23034009"
"228233",EEEP LUIZ GONZAGA FONSECA MOTA,2024,"23034190"
"228234",EEMTI PROFESSORA ESTEFANIA MATOS,2024,"23041889"
"228284",EEMTI VALDO DE VASCONCELOS RIOS,2024,"23506989"
"228285",EEMTI PROFESSORA THEOLINA DE MURYLLO ZACAS,2024,"23545453"
"228286",EEEP MARTA MARIA GIFFONI DE SOUSA,2024,"23563990"
"228287",EEMTI PREFEITO JOSE MARIA MONTEIRO,2024,"23545437"
"228288",EEMTI FRANCISCO PORCIANO FERREIRA,2024,"23545429"
"228289",EEM FRANCISCO ARAÚJO BARROS,2024,"23545445"
"228290",EEMTI VICENTE DE PAULO DA COSTA,2024,"23545410"
"228291",EEFM CORONEL LUIZ FELIPE,2024,"23005157"
"228292",EEEP MONSENHOR EXPEDITO DA SILVEIRA DE SOUSA,2024,"23002590"
